A_CpG_ID	TCGA-5X-AA5U-01A	TCGA-13-A5FU-01A	TCGA-59-A5PD-01A	TCGA-VG-A8LO-01A	TCGA-29-A5NZ-01A	TCGA-13-A5FT-01A	TCGA-WR-A838-01A	TCGA-OY-A56Q-01A	TCGA-3P-A9WA-01A	TCGA-OY-A56P-01A
cg00010242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00044501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00081852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00090612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00110695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00114618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00116558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00178785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00241482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00247803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00301256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00314276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00318682	0.881981965074972	0.829739053817622	0.489937563392247	0.896185605378387	0.899281453800737	0.846165914112692	0.899068832985324	0.824824032080403	0.27631127227619	0.932797629398598
cg00336555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00359421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00379272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00410323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00422716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00440702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00480643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00489467	0.968651169309493	0.968775979910389	0.939019700974542	0.942903140970302	0.959858960194482	0.939067494523199	0.956923901733592	0.966748389938472	0.958128963969868	0.963972998717404
cg00502041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00506859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00516867	0.386442086085107	NA	0.326631539945502	NA	0.375895756236942	0.332073420144809	0.236601236973983	0.542388539618869	0.190544991936788	0.762067981448999
cg00531054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00552235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00589791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00591353	0.860973388362004	0.87899319150086	0.719626910786418	0.860091358848141	0.695744228358757	0.643664235539555	0.778952264425845	0.724068863855103	0.676115379269413	0.923764669368798
cg00594488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00687674	0.161019042306744	0.163804812136956	0.185926429466685	0.0568568009035055	0.117941893664667	0.120728681907428	0.0522787856642065	0.0547621135155993	0.10383137089486	0.1716296202906
cg00702369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00727386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00738299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00795885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00809453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00812839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00834234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00850868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00894142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00919576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00954931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01000036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01009068	0.914104020434063	0.890737087983839	0.889040922255692	0.89906874310552	0.918237288760465	0.893930185782238	0.906692118707807	0.941162896313523	0.860160677508961	0.911218480482898
cg01049884	0.976534226292228	0.973770724630534	0.977230696880874	0.969792568042757	0.980358670856301	0.974493002741991	0.962694400970759	0.979314867394198	0.974949240532564	0.971884144343566
cg01052572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01080483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01132485	0.476634418226401	0.291210974579105	0.443246431356827	0.807334825678361	0.806001995174519	0.278616643809898	0.663765968291852	0.739178932710489	0.159020015416766	0.8380973355302
cg01135961	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01137421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01154525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01163994	0.920518271285833	NA	NA	0.737128246824021	0.276617666838738	NA	NA	0.323166470273467	NA	0.865386633035578
cg01204669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01206398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01230154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01231757	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01251118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01331064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg01352656	0.0955905920663943	0.290619715220022	0.026444100774557	0.0263723349286313	0.02701890656589	0.0233147185654857	0.0252182384052534	0.0355877565048118	0.0284094235400953	0.0665677390897011
cg01372572	0.810124128314638	0.81091287055744	0.618161935985532	0.802749785617753	0.763794307029735	0.748028768338594	0.706337655746345	0.789222071502743	0.74137838496569	0.902750787360608
