A_CpG_ID	TCGA-MQ-A4LP-01A	TCGA-TS-A7P3-01A	TCGA-LK-A4O0-01A	TCGA-3H-AB3S-01A	TCGA-LK-A4NW-01A	TCGA-3H-AB3L-01A	TCGA-SH-A7BC-01A	TCGA-LK-A4O6-01A	TCGA-SH-A7BH-01A	TCGA-SC-A6LM-01A	TCGA-TS-A7OZ-01A	TCGA-ZN-A9VW-01A	TCGA-SH-A9CU-01A	TCGA-LK-A4NY-01A	TCGA-SC-AA5Z-01A	TCGA-XT-AASU-01A	TCGA-3H-AB3O-01A	TCGA-SC-A6LQ-01A	TCGA-3U-A98I-01A	TCGA-MQ-A6BN-01A	TCGA-NQ-A57I-01A	TCGA-UT-A88D-01B	TCGA-UD-AABY-01A	TCGA-3U-A98F-01A	TCGA-MQ-A4LI-01A	TCGA-UD-AAC5-01A	TCGA-YS-A95B-01A	TCGA-UD-AAC4-01A	TCGA-MQ-A4LM-01A	TCGA-MQ-A6BS-01A	TCGA-MQ-A4LV-01A	TCGA-3H-AB3K-01A	TCGA-TS-A8AY-01A	TCGA-UD-AAC1-01A	TCGA-MQ-A6BL-01A	TCGA-3H-AB3T-01A	TCGA-3U-A98H-01A	TCGA-LK-A4O7-01A	TCGA-TS-A8AI-01A	TCGA-TS-A7P8-01A	TCGA-UD-AABZ-01A	TCGA-UD-AAC6-01A	TCGA-UT-A88G-01B	TCGA-LK-A4O5-01A	TCGA-ZN-A9VS-01A	TCGA-TS-A7P6-01A	TCGA-UT-A88E-01B	TCGA-TS-A8AS-01A	TCGA-ZN-A9VO-01A	TCGA-UT-A88C-01B	TCGA-MQ-A4LJ-01A	TCGA-TS-A7P7-01A	TCGA-UT-A97Y-01A	TCGA-YS-A95C-01A	TCGA-LK-A4NZ-01A	TCGA-SC-A6LP-01A	TCGA-3U-A98E-01A	TCGA-MQ-A4LC-01A	TCGA-ZN-A9VP-01A	TCGA-3H-AB3M-01A	TCGA-SH-A9CT-01A	TCGA-NQ-A638-01A	TCGA-SC-A6LN-01A	TCGA-YS-AA4M-01A	TCGA-LK-A4O4-01A	TCGA-UD-AAC7-01A	TCGA-MQ-A6BR-01A	TCGA-TS-A7OY-01A	TCGA-TS-A7P1-01A	TCGA-MQ-A4KX-01A	TCGA-LK-A4O2-01A	TCGA-SH-A7BD-01A	TCGA-TS-A7OU-01B	TCGA-3U-A98J-01A	TCGA-TS-A8AF-01A	TCGA-SC-A6LR-01A	TCGA-3U-A98G-01A	TCGA-3H-AB3U-01A	TCGA-3U-A98D-01A	TCGA-3H-AB3X-01A	TCGA-TS-A7PB-01A	TCGA-ZN-A9VV-01A	TCGA-MQ-A6BQ-01A	TCGA-TS-A7P0-01A	TCGA-TS-A8AV-01A	TCGA-ZN-A9VU-01A	TCGA-ZN-A9VQ-01A
cg00010242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00044501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00081852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00090612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00110695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00114618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00116558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00178785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00241482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00247803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
