A_CpG_ID	TCGA-G7-6789-01A	TCGA-B1-A656-01A	TCGA-A4-A4ZT-01A	TCGA-BQ-5882-01A	TCGA-WN-A9G9-01A	TCGA-UZ-A9PK-01A	TCGA-F9-A8NY-01A	TCGA-SX-A7SQ-01A	TCGA-A4-8098-01A	TCGA-G7-A4TM-01A	TCGA-IZ-8195-01A	TCGA-B9-A5W9-01A	TCGA-AL-7173-01A	TCGA-SX-A71R-01A	TCGA-B9-A69E-01A	TCGA-BQ-7051-01A	TCGA-UZ-A9PJ-01A	TCGA-Y8-A896-01A	TCGA-BQ-7048-01A	TCGA-Y8-A8S0-01A	TCGA-5P-A9K8-01A	TCGA-2Z-A9JE-01A	TCGA-UZ-A9PZ-01A	TCGA-A4-7996-01A	TCGA-2Z-A9JG-01A	TCGA-G7-7502-01A	TCGA-IA-A83V-01A	TCGA-PJ-A8JU-01A	TCGA-A4-A57E-01A	TCGA-2Z-A9JK-01A	TCGA-A4-A772-01A	TCGA-HE-7128-01A	TCGA-2Z-A9J5-01A	TCGA-UZ-A9PQ-01A	TCGA-EV-5902-01A	TCGA-B9-A5W7-01A	TCGA-Y8-A895-01A	TCGA-SX-A7SP-01A	TCGA-B1-A47N-01A	TCGA-A4-7287-01A	TCGA-GL-7966-01A	TCGA-IZ-8196-01A	TCGA-2Z-A9J9-01A	TCGA-2Z-A9JO-01A	TCGA-2Z-A9JT-01A	TCGA-F9-A97G-01A	TCGA-2Z-A9J1-01A	TCGA-5P-A9KF-01A	TCGA-HE-A5NH-01A	TCGA-A4-7583-01A	TCGA-BQ-5885-01A	TCGA-2Z-A9JD-01A	TCGA-BQ-5878-01A	TCGA-SX-A71U-01A	TCGA-G7-A8LD-01A	TCGA-IA-A83T-01A	TCGA-UZ-A9PL-01A	TCGA-A4-8311-01A	TCGA-HE-A5NL-01A	TCGA-KV-A6GD-01A	TCGA-A4-8515-01A	TCGA-MH-A561-01A	TCGA-UZ-A9PX-01A	TCGA-MH-A55Z-01A	TCGA-A4-8630-01A	TCGA-A4-8517-01A	TCGA-DW-7837-01A	TCGA-DW-7840-01A	TCGA-DW-7842-01A	TCGA-A4-7288-01A	TCGA-DZ-6134-01A	TCGA-B1-A47M-01A	TCGA-DW-5561-01A	TCGA-DW-7834-01A	TCGA-B1-5398-01A	TCGA-Q2-A5QZ-01A	TCGA-2Z-A9J8-01A	TCGA-G7-A8LC-01A	TCGA-BQ-5894-01A	TCGA-GL-A59T-01A	TCGA-B9-5156-01A	TCGA-HE-7129-01A	TCGA-5P-A9JW-01A	TCGA-UZ-A9Q1-01A	TCGA-BQ-5888-01A	TCGA-A4-7585-01A	TCGA-BQ-7044-01A	TCGA-A4-A6HP-01A	TCGA-BQ-7055-01A	TCGA-DW-7838-01A	TCGA-B1-A47O-01A	TCGA-BQ-7049-01A	TCGA-BQ-7058-01A	TCGA-G7-A8LE-01A	TCGA-DW-7839-01A	TCGA-MH-A854-01A	TCGA-AL-A5DJ-01A	TCGA-SX-A7SR-01A	TCGA-DW-7841-01A	TCGA-A4-A5XZ-01A	TCGA-G7-6793-01A	TCGA-Y8-A897-01A	TCGA-UZ-A9PP-01A	TCGA-PJ-A5Z9-01A	TCGA-2Z-A9JN-01A	TCGA-A4-8312-01A	TCGA-B9-A44B-01A	TCGA-5P-A9KA-01A	TCGA-P4-A5ED-01A	TCGA-2Z-A9JM-01A	TCGA-Y8-A8RZ-01A	TCGA-A4-7828-01A	TCGA-MH-A562-01A	TCGA-P4-A5EA-01A	TCGA-5P-A9JY-01A	TCGA-G7-6792-01A	TCGA-BQ-5883-01A	TCGA-GL-6846-01A	TCGA-5P-A9K3-01A	TCGA-V9-A7HT-01A	TCGA-SX-A7SM-01A	TCGA-2Z-A9JJ-01A	TCGA-BQ-5877-01A	TCGA-UZ-A9PV-01A	TCGA-UZ-A9PS-05A	TCGA-F9-A4JJ-01A	TCGA-BQ-7050-01A	TCGA-UZ-A9PS-01A	TCGA-BQ-5889-01A	TCGA-A4-7915-01A	TCGA-DZ-6131-01A	TCGA-F9-A7VF-01A	TCGA-GL-7773-01A	TCGA-5P-A9K2-01A	TCGA-GL-A59R-01A	TCGA-2K-A9WE-01A	TCGA-MH-A855-01A	TCGA-P4-A5E8-01A	TCGA-IZ-A6M8-01A	TCGA-2Z-A9JR-01A	TCGA-SX-A71V-01A	TCGA-BQ-5875-01A	TCGA-5P-A9K4-01A	TCGA-IZ-A6M9-01A	TCGA-B9-A5W8-01A	TCGA-2Z-A9JS-01A	TCGA-BQ-5884-01A	TCGA-HE-A5NK-01A	TCGA-5P-A9K9-01A	TCGA-2Z-A9JL-01A	TCGA-SX-A71S-01A	TCGA-O9-A75Z-01A	TCGA-BQ-7056-01A	TCGA-A4-7584-01A	TCGA-B9-5155-01A	TCGA-A4-7734-01A	TCGA-BQ-7046-01A	TCGA-A4-A48D-01A	TCGA-GL-A9DC-01A	TCGA-A4-A7UZ-01A	TCGA-J7-8537-01A	TCGA-BQ-5880-01A	TCGA-A4-7997-01A	TCGA-BQ-5886-01A	TCGA-BQ-5887-01A	TCGA-DW-5560-01A	TCGA-DW-7836-01A	TCGA-Y8-A898-01A	TCGA-Y8-A8S1-01A	TCGA-P4-AAVO-01A	TCGA-MH-A857-01A	TCGA-BQ-5892-01A	TCGA-B3-A6W5-01A	TCGA-G7-6795-01A	TCGA-IA-A40X-01A	TCGA-BQ-5876-01A	TCGA-G7-7501-01A	TCGA-2Z-A9J3-01A	TCGA-P4-AAVM-01A	TCGA-G7-6796-01A	TCGA-A4-7732-01A	TCGA-SX-A7SO-01A	TCGA-UZ-A9PO-01A	TCGA-DW-7963-01B	TCGA-GL-A9DE-01A	TCGA-P4-AAVK-01A	TCGA-BQ-7053-01A	TCGA-SX-A71W-01A	TCGA-5P-A9JV-01A	TCGA-B1-A657-01A	TCGA-IA-A83S-01A	TCGA-SX-A7SN-01A	TCGA-HE-A5NJ-01A	TCGA-4A-A93W-01A	TCGA-A4-8310-01A	TCGA-DZ-6132-01A	TCGA-A4-7286-01A	TCGA-2Z-A9J6-01A	TCGA-IA-A83W-01A	TCGA-Y8-A894-01A	TCGA-5P-A9KH-01A	TCGA-A4-A5Y1-01A	TCGA-BQ-7061-01A	TCGA-BQ-7060-01A	TCGA-GL-A9DD-01A	TCGA-MH-A856-01A	TCGA-KV-A74V-01A	TCGA-B1-A655-01A	TCGA-IA-A40U-01A	TCGA-DZ-6135-01A	TCGA-BQ-7062-01A	TCGA-BQ-5893-01A	TCGA-P4-A5E6-01A	TCGA-UN-AAZ9-01A	TCGA-2Z-A9J2-01A	TCGA-SX-A7SS-01A	TCGA-B9-A8YI-01A	TCGA-MH-A560-01A	TCGA-A4-8518-01A	TCGA-Y8-A8RY-01A	TCGA-A4-A5DU-01A	TCGA-DZ-6133-01A	TCGA-P4-A5EB-01A	TCGA-5P-A9JZ-01A	TCGA-WN-AB4C-01A	TCGA-BQ-5879-01A	TCGA-J7-A8I2-01A	TCGA-G7-A8LB-01A	TCGA-4A-A93Y-01A	TCGA-B9-7268-01A	TCGA-HE-A5NI-01A	TCGA-2Z-A9J7-01A	TCGA-5P-A9K6-01A	TCGA-P4-A5E7-01A	TCGA-BQ-5891-01A	TCGA-2Z-A9JP-01A	TCGA-KV-A6GE-01A	TCGA-UZ-A9PU-01A	TCGA-4A-A93X-01A	TCGA-EV-5901-01A	TCGA-G7-6790-01A	TCGA-BQ-5890-01A	TCGA-B3-8121-01A	TCGA-A4-8516-01A	TCGA-HE-7130-01A	TCGA-2Z-A9JQ-01A	TCGA-5P-A9KC-01A	TCGA-PJ-A5Z8-01A	TCGA-UZ-A9PR-01A	TCGA-MH-A55W-01A	TCGA-B1-A654-01A	TCGA-UZ-A9PM-01A	TCGA-A4-A5Y0-01A	TCGA-EV-5903-01A	TCGA-GL-A4EM-01A	TCGA-SX-A7SL-01A	TCGA-G7-6797-01A	TCGA-UZ-A9PN-01A	TCGA-HE-A5NF-01A	TCGA-BQ-5881-01A	TCGA-P4-AAVL-01A	TCGA-BQ-7059-01A	TCGA-J7-6720-01A	TCGA-SX-A7SU-01A	TCGA-5P-A9JU-01A	TCGA-BQ-7045-01A	TCGA-GL-8500-01A	TCGA-AT-A5NU-01A	TCGA-UZ-A9Q0-01A	TCGA-5P-A9KE-01A	TCGA-F9-A7Q0-01A	TCGA-B9-A8YH-01A	TCGA-2Z-A9JI-01A	TCGA-5P-A9K0-01A	TCGA-IA-A40Y-01A	TCGA-B1-7332-01A
cg00010242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00044501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00081852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00090612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00110695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00114618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00116558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00178785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00241482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00247803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
