A_CpG_ID	TCGA-YZ-A983-01A	TCGA-V4-A9ET-01A	TCGA-WC-A880-01A	TCGA-V4-A9EW-01A	TCGA-WC-A87T-01A	TCGA-VD-AA8P-01A	TCGA-VD-A8KG-01A	TCGA-V4-A9EK-01A	TCGA-V4-A9EZ-01A	TCGA-V4-A9F4-01A	TCGA-WC-A88A-01A	TCGA-V3-A9ZX-01A	TCGA-V4-A9F8-01A	TCGA-VD-A8K8-01A	TCGA-V4-A9F0-01A	TCGA-WC-A883-01A	TCGA-V4-A9EF-01A	TCGA-V4-A9EQ-01A	TCGA-VD-A8KL-01A	TCGA-V4-A9E7-01A	TCGA-V4-A9F7-01A	TCGA-VD-AA8S-01B	TCGA-VD-AA8N-01A	TCGA-WC-A881-01A	TCGA-YZ-A984-01A	TCGA-VD-AA8T-01A	TCGA-VD-A8KM-01A	TCGA-VD-A8KI-01A	TCGA-VD-A8KO-01A	TCGA-WC-AA9A-01A	TCGA-RZ-AB0B-01A	TCGA-V4-A9E5-01A	TCGA-WC-A87Y-01A	TCGA-VD-A8KB-01A	TCGA-WC-A888-01A	TCGA-V4-A9ED-01A	TCGA-WC-A87U-01A	TCGA-V4-A9EM-01A	TCGA-WC-A882-01A	TCGA-VD-A8KJ-01A	TCGA-V4-A9EX-01A	TCGA-VD-A8KD-01A	TCGA-VD-AA8M-01A	TCGA-VD-A8KN-01A	TCGA-V4-A9EJ-01A	TCGA-V4-A9EV-01A	TCGA-VD-A8K9-01A	TCGA-V4-A9EO-01A	TCGA-VD-A8KK-01A	TCGA-V3-A9ZY-01A	TCGA-YZ-A980-01A	TCGA-VD-A8KA-01B	TCGA-VD-A8KH-01A	TCGA-WC-AA9E-01A	TCGA-V4-A9E9-01A	TCGA-V4-A9EH-01A	TCGA-V4-A9EY-01A	TCGA-VD-AA8Q-01A	TCGA-V4-A9F2-01A	TCGA-WC-A87W-01A	TCGA-VD-A8K7-01B	TCGA-V4-A9EL-01A	TCGA-VD-A8KF-01A	TCGA-V4-A9F1-01A	TCGA-VD-AA8R-01A	TCGA-WC-A884-01A	TCGA-V4-A9EU-01A	TCGA-V4-A9EA-01A	TCGA-V4-A9F5-01A	TCGA-VD-A8KE-01A	TCGA-YZ-A982-01A	TCGA-VD-AA8O-01A	TCGA-V4-A9EI-01A	TCGA-V4-A9E8-01A	TCGA-V4-A9ES-01A	TCGA-V4-A9F3-01A	TCGA-YZ-A985-01A	TCGA-V4-A9EE-01A	TCGA-V4-A9EC-01A	TCGA-WC-A885-01A
cg00010242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00044501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00081852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00090612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00110695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00114618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00116558	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00178785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00241482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00247803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00253854	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg00264298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
